"Name","ID","Group","model.name","system.group","seed","system.train_ratio","system.n_constraints","system.state_dim","system.obs_state_ratio","system.noise_level","state_pred_loss/test","time","state_pred_loss_t/test"
"S:50-OS:3-H:2-G:C10-N:8_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","dhj1kwxz","NoiseSensitivity2","DAE","C10","0","1","1","50","3","8","0.796165406703949","4.918085199563623","1.2152762413024902"
"S:50-OS:3-H:2-G:C10-N:6_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","qcwva4vw","NoiseSensitivity2","DAE","C10","0","1","1","50","3","6","0.5997682213783264","4.918085199563623","0.9202114939689636"
"S:50-OS:3-H:2-G:C5-N:0_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","r62zd6om","NoiseSensitivity2","E-DAE","C5","2","1","1","50","3","0","0.02505607157945633","5.082603387667447","0.038176026195287704"
"S:50-OS:3-H:2-G:C5-N:0_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","whfxuzvg","NoiseSensitivity2","E-DAE","C5","1","1","1","50","3","0","0.02555236592888832","5.082603387667447","0.04104596748948097"
"S:50-OS:3-H:2-G:C5-N:6_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","op1o8efg","NoiseSensitivity2","E-DAE","C5","0","1","1","50","3","6","0.5257691740989685","5.082603387667447","0.795843780040741"
"S:50-OS:3-H:2-G:C5-N:0_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","4bpt5trm","NoiseSensitivity2","E-DAE","C5","3","1","1","50","3","0","0.025567295029759407","5.082603387667447","0.03792668133974075"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","qxbsf3ph","NoiseSensitivity2","E-DAE","C5","2","1","1","50","3","2","0.18325521051883695","5.082603387667447","0.27831125259399414"
"S:50-OS:3-H:2-G:C5-N:6_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","miuxrh5e","NoiseSensitivity2","E-DAE","C5","2","1","1","50","3","6","0.5304555296897888","5.082603387667447","0.7877174019813538"
"S:50-OS:3-H:2-G:C5-N:8_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ahhrjqfs","NoiseSensitivity2","E-DAE","C5","0","1","1","50","3","8","0.6981953382492065","5.082603387667447","1.0496617555618286"
"S:50-OS:3-H:2-G:C5-N:2_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","g829oyi6","NoiseSensitivity2","E-DAE","C5","0","1","1","50","3","2","0.1805944591760635","5.082603387667447","0.27210524678230286"
"S:50-OS:3-H:2-G:C10-N:6_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","8ufcnhkq","NoiseSensitivity2","DAE","C10","1","1","1","50","3","6","0.6081413626670837","4.918085199563623","0.9674578309059144"
"S:50-OS:3-H:2-G:C5-N:0_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","42zvoeam","NoiseSensitivity2","E-DAE","C5","0","1","1","50","3","0","0.024945450946688652","5.082603387667447","0.03653072938323021"
"S:50-OS:3-H:2-G:C10-N:0_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","uvmupsss","NoiseSensitivity2","DAE","C10","1","1","1","50","3","0","0.05668479204177856","4.918085199563623","0.08400276303291321"
"S:50-OS:3-H:2-G:C5-N:6_E-DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","ywx15w7e","NoiseSensitivity2","E-DAE","C5","1","1","1","50","3","6","0.5263799428939819","5.082603387667447","0.7707926034927368"
"S:50-OS:3-H:2-G:C5-N:8_DAE-Obs_w:1.0-Orth_w:0.0-Act:ELU-B:True-BN:False-LR:0.001-L:5-128_system.n_constraints=1 system=linear_system","63gkrjaq","NoiseSensitivity2","DAE","C5","2","1","1","50","3","8","0.7678200602531433","5.082603387667447","1.136524319648743"
